District Name,District Latitude,District Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude
"Affori, Milan, Italy",45.51411,9.17353,Armani Hotel Milano,Hotel,45.51066,9.17572
"Affori, Milan, Italy",45.51411,9.17353,Esselunga,Supermarket,45.5123798,9.17346056
"Affori, Milan, Italy",45.51411,9.17353,Al Paradiso Della Pizza,Pizza Place,45.511350808561055,9.17541572485665
"Affori, Milan, Italy",45.51411,9.17353,Istanbul  Kebab,Kebab Restaurant,45.5104206167983,9.176128444090368
"Affori, Milan, Italy",45.51411,9.17353,Osteria del biliardo,Pool Hall,45.51474090088364,9.16934481069853
"Affori, Milan, Italy",45.51411,9.17353,Parco di Villa Litta,Park,45.51641435277676,9.167165471973123
"Affori, Milan, Italy",45.51411,9.17353,Biologic Bar & Restaurant,Hotel Bar,45.51230185245355,9.17870947028195
"Affori, Milan, Italy",45.51411,9.17353,Hotel La Residenza,Hotel,45.51241282650604,9.178769721792506
"Affori, Milan, Italy",45.51411,9.17353,Bricocenter,Hobby Shop,45.50966541765137,9.17641166342463
"Affori, Milan, Italy",45.51411,9.17353,Birrificio La Ribalta,Brewery,45.50703808290822,9.173219270936427
"Affori, Milan, Italy",45.51411,9.17353,Effecorta,Health Food Store,45.51798901223891,9.169882535934448
"Affori, Milan, Italy",45.51411,9.17353,Parco delle Favole,Park,45.51364703286756,9.176539965092777
"Affori, Milan, Italy",45.51411,9.17353,Pizzeria Astesani,Pizza Place,45.51613998413086,9.172112464904785
"Affori, Milan, Italy",45.51411,9.17353,Osteria del Biliardo,Italian Restaurant,45.51481224769241,9.169422317540421
"Affori, Milan, Italy",45.51411,9.17353,"Centro Sportivo ""Giacinto Facchetti""",Soccer Field,45.51700779246065,9.179182984648016
"Affori, Milan, Italy",45.51411,9.17353,Chicken & Chicken,Fried Chicken Joint,45.513721,9.173872
"Affori, Milan, Italy",45.51411,9.17353,Acca Palace Hotel,Hotel,45.51056939951728,9.174542724171332
"Affori, Milan, Italy",45.51411,9.17353,Su Barrile,Pizza Place,45.51465923006594,9.173044904417369
"Affori, Milan, Italy",45.51411,9.17353,Good Morning Caffè,Café,45.51739746704062,9.171454969479798
"Affori, Milan, Italy",45.51411,9.17353,Quanta Village,Gym / Fitness Center,45.51753853375996,9.162832457422851
"Affori, Milan, Italy",45.51411,9.17353,Ristorante Pizzeria La Pianta,Italian Restaurant,45.517067107390524,9.171548792631771
"Affori, Milan, Italy",45.51411,9.17353,Bar De  L 'Oeuc,Café,45.515875,9.172474
"Affori, Milan, Italy",45.51411,9.17353,Alterego,Cocktail Bar,45.51889206552272,9.170392567883846
"Affori, Milan, Italy",45.51411,9.17353,MC2 HAIR SPA,Salon / Barbershop,45.517011723860236,9.171239733695984
"Affori, Milan, Italy",45.51411,9.17353,Legend Club,Rock Club,45.516134626755004,9.179478519656964
"Affori, Milan, Italy",45.51411,9.17353,Planet Ristorante Italo-Giapponese,Japanese Restaurant,45.508536493879674,9.177329789657513
"Affori, Milan, Italy",45.51411,9.17353,BRT,Shipping Store,45.506477,9.170013
"Affori, Milan, Italy",45.51411,9.17353,Ac Garibaldina 1932,Soccer Field,45.505812823406636,9.172450746510348
"Affori, Milan, Italy",45.51411,9.17353,Trinity Skate Park,Skate Park,45.50581946869304,9.172452470203888
"Affori, Milan, Italy",45.51411,9.17353,Sporting 3 Platani,Football Stadium,45.52100608170625,9.180457393315473
"Affori, Milan, Italy",45.51411,9.17353,Hotel Brivio,Hotel,45.50566193247028,9.178744505456384
"Affori, Milan, Italy",45.51411,9.17353,Blitz Bovisa,Furniture / Home Store,45.50845034124225,9.162804667256541
"Assiano, Milan, Italy",45.45053,9.06172,La svolta,Pizza Place,45.4528,9.06694
"Baggio, Milan, Italy",45.46325,9.09271,Osteria alla Grande,Italian Restaurant,45.46131905811285,9.090584068449862
"Baggio, Milan, Italy",45.46325,9.09271,Cartadazucchero,Café,45.46174158150758,9.089489801790132
