,PostalCode,Borough,Neighborhood,Latitude,Longitude
0,M1B,Scarborough,"Rouge, Malvern",43.7976,-79.227
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7882,-79.1911
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7385,-79.2021
3,M1G,Scarborough,Woburn,43.7563,-79.2224
4,M1H,Scarborough,Cedarbrae,43.7563,-79.2417
5,M1J,Scarborough,Scarborough Village,43.7315,-79.246
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7025,-79.2656
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.6905,-79.2857
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.7041,-79.2446
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.6748,-79.2764
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7422,-79.2818
11,M1R,Scarborough,"Maryvale, Wexford",43.7293,-79.3038
12,M1S,Scarborough,Agincourt,43.7807,-79.2855
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7719,-79.3213
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.813,-79.2781
15,M1W,Scarborough,L'Amoreaux West,43.7822,-79.3261
16,M1X,Scarborough,Upper Rouge,43.8275,-79.2437
17,M2H,North York,Hillcrest Village,43.7895,-79.3735
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.7685,-79.3584
19,M2K,North York,Bayview Village,43.7657,-79.3835
20,M2L,North York,"Silver Hills, York Mills",43.7352,-79.3818
21,M2M,North York,"Newtonbrook, Willowdale",43.784,-79.4263
22,M2N,North York,Willowdale South,43.7521,-79.4202
23,M2P,North York,York Mills West,43.7393,-79.4005
24,M2R,North York,Willowdale West,43.7648,-79.4325
25,M3A,North York,Parkwoods,43.7358,-79.328
26,M3B,North York,Don Mills North,43.7363,-79.3498
